2d10,Human,Dwarf,Halfling,High Elf,Wood Elf,
2,White Blond,White,Grey,Silver,Birch Silver,
3,Golden Blond,Grey,Flaxen,White,Ash Blond,
4,Red Blond,Pale Blond,Russet,Pale Blond,Rose Gold,
5-7,Golden Brown,Golden,Honey,Blond,Honey Blond,
8-11,Light Brown,Copper,Chestnut,Yellow Blond,Brown,
12-14,Dark Brown,Bronze,Ginger,Copper Blond,Mahogany Brown,
15-17,Black,Brown,Mustard,Red Blond,Dark brown,
18,Auburn,Dark Brown,Almond,Auburn,Sienna,
19,Red,Reddish Brown,Chocolate,Red,Ebony,
20,Grey,Black,Liquorice,Black,Blue-Black,
